PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33920488","Parental Perception of Weight and Feeding Practices in SchoolChildren: A Cross-Sectional Study","Inclán-López P, Bartolomé-Gutiérrez R, Martínez-Castillo D, Rabanales-Sotos J, Guisado-Requena IM, Martínez-Andrés M.","Int J Environ Res Public Health. 2021 Apr 11;18(8):4014. doi: 10.3390/ijerph18084014.","Inclán-López P","Int J Environ Res Public Health","2021","2021/04/30","PMC8069248","","10.3390/ijerph18084014"
"33919560","And yet Again: Having Breakfast Is Positively Associated with Lower BMI and Healthier General Eating Behavior in Schoolchildren","Ober P, Sobek C, Stein N, Spielau U, Abel S, Kiess W, Meigen C, Poulain T, Igel U, Lipek T, Vogel M.","Nutrients. 2021 Apr 18;13(4):1351. doi: 10.3390/nu13041351.","Ober P","Nutrients","2021","2021/04/30","PMC8072724","","10.3390/nu13041351"
"33918208","Does Subjective Dietary Knowledge Affect Sugar-Sweetened Carbonated Beverages Consumption and Child Obesity? Empirical Evidence from the Inner Mongolia Autonomous Region in China","Liu Z, Si W, Zhao Q, Tao C.","Int J Environ Res Public Health. 2021 Apr 2;18(7):3713. doi: 10.3390/ijerph18073713.","Liu Z","Int J Environ Res Public Health","2021","2021/04/30","PMC8037324","","10.3390/ijerph18073713"
"33882878","Caregivers' perceptions, challenges and service needs related to tackling childhood overweight and obesity: a qualitative study in three districts of Shanghai, China","Wu Y, Ma X, Fraser WD, Li M, Wang W, Huang H, Landry M, Hao Y, Liu H, Semenic S, Zhang Y, Wang H, Zhang J, Yu J, La X, Zhang C, Marc I, Jiang H.","BMC Public Health. 2021 Apr 21;21(1):768. doi: 10.1186/s12889-021-10744-6.","Wu Y","BMC Public Health","2021","2021/04/22","PMC8061052","","10.1186/s12889-021-10744-6"
"33827501","Trends in health behavior and weight outcomes following enhanced afterschool programming participation","Rieder J, Moon JY, Joels J, Shankar V, Meissner P, Johnson-Knox E, Frohlich B, Davies S, Wylie-Rosett J.","BMC Public Health. 2021 Apr 7;21(1):672. doi: 10.1186/s12889-021-10700-4.","Rieder J","BMC Public Health","2021","2021/04/08","PMC8028223","","10.1186/s12889-021-10700-4"
"33813493","METABOLIC SYNDROME, OVERWEIGHT, HYPERLEPTINEMIA IN CHILDREN AND ADULTS","Bochar OM, Sklyarova HY, Abrahamovych KY, Hromnats'ka NM, Bochar VT, Sklyarov EY.","Wiad Lek. 2021;74(2):313-316.","Bochar OM","Wiad Lek","2021","2021/04/04","","",""
"33812731","Overweight, obesity and coronary artery lesions among Kawasaki disease patients","Shi H, Weng F, Li C, Jin Z, Hu J, Chu M, Qiu H.","Nutr Metab Cardiovasc Dis. 2021 May 6;31(5):1604-1612. doi: 10.1016/j.numecd.2021.01.015. Epub 2021 Jan 28.","Shi H","Nutr Metab Cardiovasc Dis","2021","2021/04/04","","","10.1016/j.numecd.2021.01.015"
"33810963","Association between MBOAT7 rs641738 polymorphism and non-alcoholic fatty liver in overweight or obese children","Zusi C, Morandi A, Maguolo A, Corradi M, Costantini S, Mosca A, Crudele A, Mantovani A, Alisi A, Miraglia Del Giudice E, Targher G, Maffeis C.","Nutr Metab Cardiovasc Dis. 2021 May 6;31(5):1548-1555. doi: 10.1016/j.numecd.2021.01.020. Epub 2021 Feb 4.","Zusi C","Nutr Metab Cardiovasc Dis","2021","2021/04/03","","","10.1016/j.numecd.2021.01.020"
"33810960","Changes in the profile of circulating HDL subfractions in severe obese adolescents following a weight reduction program","Montero D, Dutheil F, Walther G, Perez-Martin A, Soto-Esclapez L, Vinet A, Roche E.","Nutr Metab Cardiovasc Dis. 2021 May 6;31(5):1586-1593. doi: 10.1016/j.numecd.2021.01.025. Epub 2021 Feb 10.","Montero D","Nutr Metab Cardiovasc Dis","2021","2021/04/03","","","10.1016/j.numecd.2021.01.025"
"33809476","The Association between Portion Sizes from High-Energy-Dense Foods and Body Composition in European Adolescents: The HELENA Study","Flieh SM, Miguel-Berges ML, González-Gil EM, Gottrand F, Censi L, Widhalm K, Manios Y, Kafatos A, Molnár D, Dallongeville J, Stehle P, Gonzalez-Gross M, Marcos A, De Henauw S, Molina-Hidalgo C, Huybrechts I, Moreno LA.","Nutrients. 2021 Mar 16;13(3):954. doi: 10.3390/nu13030954.","Flieh SM","Nutrients","2021","2021/04/03","PMC7998698","","10.3390/nu13030954"
"33806798","Secular Trends of Underweight, Overweight, and Obesity in Children and Adolescents from Ukraine","Dereń K, Wyszyńska J, Nyankovskyy S, Nyankovska O, Yatsula M, Łuszczki E, Sobolewski M, Mazur A.","Int J Environ Res Public Health. 2021 Mar 23;18(6):3302. doi: 10.3390/ijerph18063302.","Dereń K","Int J Environ Res Public Health","2021","2021/04/03","PMC8004989","","10.3390/ijerph18063302"
"33805541","Observational Study Regarding the Relationship between Nutritional Status, Dental Caries, Mutans Streptococci, and Lactobacillus Bacterial Colonies","Bud ES, Bica CI, Stoica OE, Vlasa A, Eșian D, Bucur SM, Bud A, Chibelean M, Păcurar M.","Int J Environ Res Public Health. 2021 Mar 29;18(7):3551. doi: 10.3390/ijerph18073551.","Bud ES","Int J Environ Res Public Health","2021","2021/04/03","PMC8038087","","10.3390/ijerph18073551"
"33804865","Pre-Pregnancy Diet Quality Is Associated with Lowering the Risk of Offspring Obesity and Underweight: Finding from a Prospective Cohort Study","Gete DG, Waller M, Mishra GD.","Nutrients. 2021 Mar 24;13(4):1044. doi: 10.3390/nu13041044.","Gete DG","Nutrients","2021","2021/04/03","PMC8063840","","10.3390/nu13041044"
"33804662","Physical and Sedentary Activities and Childhood Overweight/Obesity: A Cross-Sectional Study among First-Year Children of Primary Schools in Modena, Italy","Paduano S, Greco A, Borsari L, Salvia C, Tancredi S, Pinca J, Midili S, Tripodi A, Borella P, Marchesi I.","Int J Environ Res Public Health. 2021 Mar 20;18(6):3221. doi: 10.3390/ijerph18063221.","Paduano S","Int J Environ Res Public Health","2021","2021/04/03","PMC8003752","","10.3390/ijerph18063221"
"33804409","Psychological Resilience, Experimentally Manipulated Social Status, and Dietary Intake among Adolescents","Guazzelli Williamson V, Lee AM, Miller D, Huo T, Maner JK, Cardel M.","Nutrients. 2021 Mar 1;13(3):806. doi: 10.3390/nu13030806.","Guazzelli Williamson V","Nutrients","2021","2021/04/03","PMC7998543","","10.3390/nu13030806"
"33803733","Factors That Influence Participation in Physical Activity in School-Aged Children and Adolescents: A Systematic Review from the Social Ecological Model Perspective","Hu D, Zhou S, Crowley-McHattan ZJ, Liu Z.","Int J Environ Res Public Health. 2021 Mar 18;18(6):3147. doi: 10.3390/ijerph18063147.","Hu D","Int J Environ Res Public Health","2021","2021/04/03","PMC8003258","","10.3390/ijerph18063147"
"33803093","Fast Eating Is Associated with Increased BMI among High-School Students","Fagerberg P, Charmandari E, Diou C, Heimeier R, Karavidopoulou Y, Kassari P, Koukoula E, Lekka I, Maglaveras N, Maramis C, Pagkalos I, Papapanagiotou V, Riviou K, Sarafis I, Tragomalou A, Ioakimidis I.","Nutrients. 2021 Mar 9;13(3):880. doi: 10.3390/nu13030880.","Fagerberg P","Nutrients","2021","2021/04/03","PMC7999323","","10.3390/nu13030880"
"33802875","Characteristics of Multicomponent Interventions to Treat Childhood Overweight and Obesity in Extremely Cold Climates: A Systematic Review of a Randomized Controlled Trial","Albornoz-Guerrero J, García S, Sevilla GGP, Cigarroa I, Zapata-Lamana R.","Int J Environ Res Public Health. 2021 Mar 17;18(6):3098. doi: 10.3390/ijerph18063098.","Albornoz-Guerrero J","Int J Environ Res Public Health","2021","2021/04/03","PMC8002607","","10.3390/ijerph18063098"
"33801485","A Review of Registered Randomized Controlled Trials for the Prevention of Obesity in Infancy","Mihrshahi S, Jawad D, Richards L, Hunter KE, Ekambareshwar M, Seidler AL, Baur LA.","Int J Environ Res Public Health. 2021 Mar 2;18(5):2444. doi: 10.3390/ijerph18052444.","Mihrshahi S","Int J Environ Res Public Health","2021","2021/04/03","PMC7967587","","10.3390/ijerph18052444"
"33800994","Baby-Led Weaning: What Role Does It Play in Obesity Risk during the First Years? A Systematic Review","Martinón-Torres N, Carreira N, Picáns-Leis R, Pérez-Ferreirós A, Kalén A, Leis R.","Nutrients. 2021 Mar 21;13(3):1009. doi: 10.3390/nu13031009.","Martinón-Torres N","Nutrients","2021","2021/04/03","PMC8003981","","10.3390/nu13031009"
"33795307","Study protocol for the Sino-Canadian Healthy Life Trajectories Initiative (SCHeLTI): a multicentre, cluster-randomised, parallel-group, superiority trial of a multifaceted community-family-mother-child intervention to prevent childhood overweight and obesity","Wu Y, Marc I, Bouchard L, Ouyang F, Luo ZC, Fan J, Dubois L, Mâsse B, Zhang J, Leung PCK, Liao XP, Herba CM, Booij L, Shen J, Lewin A, Jiang H, Wang L, Xu J, Wu W, Sun W, Wu J, Li H, Lei C, Kozyrskyj A, Semenic S, Chaillet N, Fortier I, Masse L, Zhan J, Allard C, Knoppers B, Zawati M, Baillargeon JP, Velez MP, Zhang H, Yu Y, Yu W, Ding Y, Vaillancourt C, Liu H, Tetu A, Fang W, Zhang R, Zhao X, Jin Y, Liu XM, Zhang H, Chen Z, Yang X, Hao YH, Abdelouahab N, Fraser W, Huang HF.","BMJ Open. 2021 Apr 1;11(4):e045192. doi: 10.1136/bmjopen-2020-045192.","Wu Y","BMJ Open","2021","2021/04/02","PMC8021741","","10.1136/bmjopen-2020-045192"
"33789852","Diagnostic performance of mid-upper arm circumference to identify overweight and obesity in children and adolescents: a protocol for a systematic review and meta-analysis","Sisay BG, Hassen HY, Gebreyesus SH.","BMJ Open. 2021 Mar 31;11(3):e044624. doi: 10.1136/bmjopen-2020-044624.","Sisay BG","BMJ Open","2021","2021/04/01","PMC8016083","","10.1136/bmjopen-2020-044624"
"33777878","Mobile Health Interventions Addressing Childhood and Adolescent Obesity in Sub-Saharan Africa and Europe: Current Landscape and Potential for Future Research","Reddy P, Dukhi N, Sewpaul R, Ellahebokus MAA, Kambaran NS, Jobe W.","Front Public Health. 2021 Mar 11;9:604439. doi: 10.3389/fpubh.2021.604439. eCollection 2021.","Reddy P","Front Public Health","2021","2021/03/29","PMC7991289","","10.3389/fpubh.2021.604439"
"33750841","COVID-19-related school closing aggravate obesity and glucose intolerance in pediatric patients with obesity","Kim ES, Kwon Y, Choe YH, Kim MJ.","Sci Rep. 2021 Mar 9;11(1):5494. doi: 10.1038/s41598-021-84766-w.","Kim ES","Sci Rep","2021","2021/03/22","PMC7943757","","10.1038/s41598-021-84766-w"
"33743964","Pediatric Metabolic and Bariatric Surgery","Steinhart A, Tsao D, Pratt JSA.","Surg Clin North Am. 2021 Apr;101(2):199-212. doi: 10.1016/j.suc.2020.12.007.","Steinhart A","Surg Clin North Am","2021","2021/03/21","","","10.1016/j.suc.2020.12.007"
"33741212","Tri-Ponderal Mass Index vs body Mass Index in discriminating central obesity and hypertension in adolescents with overweight","Malavazos AE, Capitanio G, Milani V, Ambrogi F, Matelloni IA, Basilico S, Dubini C, Sironi FM, Stella E, Castaldi S, Secchi F, Menicanti L, Iacobellis G, Corsi Romanelli MM, Carruba MO, Morricone LF.","Nutr Metab Cardiovasc Dis. 2021 May 6;31(5):1613-1621. doi: 10.1016/j.numecd.2021.02.013. Epub 2021 Feb 23.","Malavazos AE","Nutr Metab Cardiovasc Dis","2021","2021/03/20","","","10.1016/j.numecd.2021.02.013"
"33715630","Correspondence: systematic reviews do not always capture context of real-world intervention programmes for childhood obesity (response to Littlewood, et al., 2020 in BMC Public Health)","Wild CEK, Cave TL, Willing EJ, Derraik JGB, Grant CC, Hofman PL, Anderson YC.","BMC Public Health. 2021 Mar 15;21(1):501. doi: 10.1186/s12889-021-10486-5.","Wild CEK","BMC Public Health","2021","2021/03/15","PMC7958484","","10.1186/s12889-021-10486-5"
"33715618","Response to 'Systematic reviews do not always capture context of real-world intervention programmes for childhood obesity' by Wild et al., 2021 in BMC Public Health","Littlewood R, Canfell OJ, Walker JL.","BMC Public Health. 2021 Mar 15;21(1):500. doi: 10.1186/s12889-021-10487-4.","Littlewood R","BMC Public Health","2021","2021/03/15","PMC7958423","","10.1186/s12889-021-10487-4"
"33707266","Obesity in childhood, socioeconomic status, and completion of 12 or more school years: a prospective cohort study","Lindberg L, Persson M, Danielsson P, Hagman E, Marcus C.","BMJ Open. 2021 Mar 11;11(3):e040432. doi: 10.1136/bmjopen-2020-040432.","Lindberg L","BMJ Open","2021","2021/03/12","PMC7957136","","10.1136/bmjopen-2020-040432"
"33704684","HOMA-AD and Metabolic Syndrome-The Homecoming of Adiponectin in Pediatric Obesity","Bajpai A.","Indian J Pediatr. 2021 Apr;88(4):322-323. doi: 10.1007/s12098-021-03712-w. Epub 2021 Mar 11.","Bajpai A","Indian J Pediatr","2021","2021/03/11","","","10.1007/s12098-021-03712-w"
"33692983","Assets and Challenges to Recruiting and Engaging Families in a Childhood Obesity Treatment Research Trial: Insights From Academic Partners, Community Partners, and Study Participants","Brock DP, Estabrooks PA, Yuhas M, Wilson JA, Montague D, Price BE, Elliott K, Hill JL, Zoellner JM.","Front Public Health. 2021 Feb 22;9:631749. doi: 10.3389/fpubh.2021.631749. eCollection 2021.","Brock DP","Front Public Health","2021","2021/03/11","PMC7937718","","10.3389/fpubh.2021.631749"
"33684957","Transition of care in a case of obesity with metabolic surgery","Stroh C, Luderer D, Meyer F.","Z Gastroenterol. 2021 Mar;59(3):250-254. doi: 10.1055/a-1348-2378. Epub 2021 Mar 8.","Stroh C","Z Gastroenterol","2021","2021/03/08","","","10.1055/a-1348-2378"
"33672502","Impact of Lifestyle Intervention Programs for Children and Adolescents with Overweight or Obesity on Body Weight and Selected Cardiometabolic Factors-A Systematic Review","Bondyra-Wiśniewska B, Myszkowska-Ryciak J, Harton A.","Int J Environ Res Public Health. 2021 Feb 20;18(4):2061. doi: 10.3390/ijerph18042061.","Bondyra-Wiśniewska B","Int J Environ Res Public Health","2021","2021/03/06","PMC7923753","","10.3390/ijerph18042061"
"33669174","Healthy Lifestyle Management of Pediatric Obesity with a Hybrid System of Customized Mobile Technology: The PediaFit Pilot Project","Delli Bovi AP, Manco Cesari G, Rocco MC, Di Michele L, Rimauro I, Lugiero A, Mottola S, De Anseris AGE, Nazzaro L, Massa G, Vajro P.","Nutrients. 2021 Feb 16;13(2):631. doi: 10.3390/nu13020631.","Delli Bovi AP","Nutrients","2021","2021/03/06","PMC7919673","","10.3390/nu13020631"
"33654510","Prevalence and factors that are associated with elevated blood pressure among primary school children in Mwanza Region, Tanzania","Sungwa EE, Kibona SE, Dika HI, Laisser RM, Gemuhay HM, Kabalimu TK, Kidenya BR.","Pan Afr Med J. 2020 Nov 30;37:283. doi: 10.11604/pamj.2020.37.283.21119. eCollection 2020.","Sungwa EE","Pan Afr Med J","2020","2021/03/03","PMC7896535","","10.11604/pamj.2020.37.283.21119"
"33653879","COVID-19 and Changes in Child Obesity","Jenssen BP, Kelly MK, Powell M, Bouchelle Z, Mayne SL, Fiks AG.","Pediatrics. 2021 May;147(5):e2021050123. doi: 10.1542/peds.2021-050123. Epub 2021 Mar 2.","Jenssen BP","Pediatrics","2021","2021/03/03","","","10.1542/peds.2021-050123"
"33652678","Cardiovascular Imaging in Obesity","Mavrogeni SI, Bacopoulou F, Markousis-Mavrogenis G, Chrousos G, Charmandari E.","Nutrients. 2021 Feb 26;13(3):744. doi: 10.3390/nu13030744.","Mavrogeni SI","Nutrients","2021","2021/03/03","PMC7996902","","10.3390/nu13030744"
"33634061","Potential Impact of the Nonessential Energy-Dense Foods Tax on the Prevalence of Overweight and Obesity in Children: A Modeling Study","Illescas-Zárate D, Batis C, Ramírez-Silva I, Torres-Álvarez R, Rivera JA, Barrientos-Gutiérrez T.","Front Public Health. 2021 Jan 28;8:591696. doi: 10.3389/fpubh.2020.591696. eCollection 2020.","Illescas-Zárate D","Front Public Health","2021","2021/02/26","PMC7902009","","10.3389/fpubh.2020.591696"
"33624450","Metabolic dysfunction and early-onset colorectal cancer - how macrophages build the bridge","Scheurlen KM, Billeter AT, O'Brien SJ, Galandiuk S.","Cancer Med. 2020 Sep;9(18):6679-6693. doi: 10.1002/cam4.3315. Epub 2020 Jul 23.","Scheurlen KM","Cancer Med","2020","2021/02/24","PMC7520341","","10.1002/cam4.3315"
"33624214","Impact of Baseline BMI and Adherence to Follow-Up on the Outcome of Sleeve Gastrectomy in Treatment of Adolescent Obesity","Mohammed MR, Mahdy T, Hashem A, Zaki S, Alwahedi A, Makki H, Asaad Y, Emile SH.","Obes Surg. 2021 Jun;31(6):2567-2575. doi: 10.1007/s11695-021-05285-1. Epub 2021 Feb 23.","Mohammed MR","Obes Surg","2021","2021/02/24","","","10.1007/s11695-021-05285-1"
"33622950","Relationships between social spending and childhood obesity in OECD countries: an ecological study","Miyawaki A, Evans CEL, Lucas PJ, Kobayashi Y.","BMJ Open. 2021 Feb 23;11(2):e044205. doi: 10.1136/bmjopen-2020-044205.","Miyawaki A","BMJ Open","2021","2021/02/24","PMC7907862","","10.1136/bmjopen-2020-044205"
"33598068","Prevalence of excess body weight and associated factors among secondary school adolescent girls in northern Tanzania: a cross-sectional study","Tengia-Kessy A, Killenga JN.","Pan Afr Med J. 2020 Nov 19;37:253. doi: 10.11604/pamj.2020.37.253.25349. eCollection 2020.","Tengia-Kessy A","Pan Afr Med J","2020","2021/02/18","PMC7864264","","10.11604/pamj.2020.37.253.25349"
"33618924","Serum leptin as a mediator of the influence of insulin resistance on hepatic steatosis in youths with excess adiposity","Ramírez-Vélez R, González-Ruíz K, González-Jiménez E, Schmidt-RioValle J, Correa-Rodríguez M, García-Hermoso A, Palomino-Echeverría S, Izquierdo M.","Nutr Metab Cardiovasc Dis. 2021 Apr 9;31(4):1308-1316. doi: 10.1016/j.numecd.2020.12.014. Epub 2021 Feb 19.","Ramírez-Vélez R","Nutr Metab Cardiovasc Dis","2021","2021/02/23","","","10.1016/j.numecd.2020.12.014"
"33592733","A novel and disposable GP- based impedimetric biosensor using electropolymerization process with PGA for highly sensitive determination of leptin: Early diagnosis of childhood obesity","Özcan B, Sezgintürk MK.","Talanta. 2021 Apr 1;225:121985. doi: 10.1016/j.talanta.2020.121985. Epub 2020 Dec 9.","Özcan B","Talanta","2021","2021/02/17","","","10.1016/j.talanta.2020.121985"
"33589322","Fat mass and vascular health in overweight/obese children","Licenziati MR, Iannuzzo G, Morlino D, Campana G, Renis M, Iannuzzi A, Valerio G.","Nutr Metab Cardiovasc Dis. 2021 Apr 9;31(4):1317-1323. doi: 10.1016/j.numecd.2020.12.017. Epub 2021 Jan 5.","Licenziati MR","Nutr Metab Cardiovasc Dis","2021","2021/02/16","","","10.1016/j.numecd.2020.12.017"
"33579237","Effectiveness and process evaluation in obesity and type 2 diabetes prevention programs in children: a systematic review and meta-analysis","Seral-Cortes M, De Miguel-Etayo P, Zapata P, Miguel-Berges ML, Moreno LA.","BMC Public Health. 2021 Feb 12;21(1):348. doi: 10.1186/s12889-021-10297-8.","Seral-Cortes M","BMC Public Health","2021","2021/02/13","PMC7881469","","10.1186/s12889-021-10297-8"
"33578854","Active Game-Based Solutions for the Treatment of Childhood Obesity","González-González CS, Gómez Del Río N, Toledo-Delgado PA, García-Peñalvo FJ.","Sensors (Basel). 2021 Feb 10;21(4):1266. doi: 10.3390/s21041266.","González-González CS","Sensors (Basel)","2021","2021/02/13","PMC7916583","","10.3390/s21041266"
"33578699","Association of Protein Intake during the Second Year of Life with Weight Gain-Related Outcomes in Childhood: A Systematic Review","Ferré N, Luque V, Closa-Monasterolo R, Zaragoza-Jordana M, Gispert-Llauradó M, Grote V, Koletzko B, Escribano J.","Nutrients. 2021 Feb 10;13(2):583. doi: 10.3390/nu13020583.","Ferré N","Nutrients","2021","2021/02/13","PMC7916342","","10.3390/nu13020583"
"33573017","Three-Year Follow-Up of the POIBA Intervention on Childhood Obesity: A Quasi-Experimental Study","Sánchez-Martínez F, Brugueras S, Serral G, Valmayor S, Juárez O, López MJ, Ariza C, Group OBOTPPE.","Nutrients. 2021 Jan 29;13(2):453. doi: 10.3390/nu13020453.","Sánchez-Martínez F","Nutrients","2021","2021/02/12","PMC7911572","","10.3390/nu13020453"
"33572858","Influence of the Growth and Development Check (GDC) on Overweight/Obesity of Children under-5 Years in China: A Propensity Score Analysis","Duan C, Mei L, Ge T, Jiang Q.","Int J Environ Res Public Health. 2021 Jan 29;18(3):1203. doi: 10.3390/ijerph18031203.","Duan C","Int J Environ Res Public Health","2021","2021/02/12","PMC7908242","","10.3390/ijerph18031203"
"33568183","Children's moderate-to-vigorous physical activity on weekdays versus weekend days: a multi-country analysis","Brazendale K, Beets MW, Armstrong B, Weaver RG, Hunt ET, Pate RR, Brusseau TA, Bohnert AM, Olds T, Tassitano RM, Tenorio MCM, Garcia J, Andersen LB, Davey R, Hallal PC, Jago R, Kolle E, Kriemler S, Kristensen PL, Kwon S, Puder JJ, Salmon J, Sardinha LB, van Sluijs EMF; International Children’s Accelerometry Database (ICAD) Collaborators.","Int J Behav Nutr Phys Act. 2021 Feb 10;18(1):28. doi: 10.1186/s12966-021-01095-x.","Brazendale K","Int J Behav Nutr Phys Act","2021","2021/02/11","PMC7877033","","10.1186/s12966-021-01095-x"
"33567730","A Multimodal Intervention for Prevention of Overweight and Obesity in Schoolchildren. A Protocol Study ""PREVIENE-CÁDIZ""","Aragón-Martín R, Gómez-Sánchez MDM, Jiménez-Pavón D, Martínez-Nieto JM, Schwarz-Rodríguez M, Segundo-Iglesias C, Novalbos-Ruiz JP, Santi-Cano MJ, Castro-Piñero J, Lineros-González C, Hernán-García M, Rodríguez-Martín A.","Int J Environ Res Public Health. 2021 Feb 8;18(4):1622. doi: 10.3390/ijerph18041622.","Aragón-Martín R","Int J Environ Res Public Health","2021","2021/02/11","PMC7914756","","10.3390/ijerph18041622"
"33563281","A secondary analysis of the childhood obesity prevention Cochrane Review through a wider determinants of health lens: implications for research funders, researchers, policymakers and practitioners","Nobles J, Summerbell C, Brown T, Jago R, Moore T.","Int J Behav Nutr Phys Act. 2021 Feb 10;18(1):22. doi: 10.1186/s12966-021-01082-2.","Nobles J","Int J Behav Nutr Phys Act","2021","2021/02/10","PMC7874658","","10.1186/s12966-021-01082-2"
"33549442","Circulating pro-neurotensin levels predict bodyweight gain and metabolic alterations in children","Barchetta I, Bertoccini L, Sentinelli F, Bailetti D, Marini G, Cimini FA, Ceccarelli V, Struck J, Schulte J, Loche S, Cossu E, Melander O, Cavallo MG, Baroni MG.","Nutr Metab Cardiovasc Dis. 2021 Mar 10;31(3):902-910. doi: 10.1016/j.numecd.2020.11.025. Epub 2020 Dec 5.","Barchetta I","Nutr Metab Cardiovasc Dis","2021","2021/02/07","","","10.1016/j.numecd.2020.11.025"
